91110113MA01GHE6XA,17572772147,东方普拉特(北京)建筑设计有限公司,17572772147,建筑业,北京市顺义区南法信镇信中街12号院8号楼102门3层3009室
91110105MA01GHN16Q,17841821029,中检科教育科技(北京)有限公司,17841821029,信息传输、计算机服务和软件业,北京市朝阳区高碑店北路甲3号2号楼4层B416
91110112MA01GHBU7C,17532850004,中安聚鑫(北京)物业管理有限公司,17532850004,交通运输、仓储和邮政业,北京市通州区玉桥西里71号楼2幢三层313
91110109MA01GHNR9L,13078947141,东方环亚国际货物运输代理(北京)有限公司,13078947141,交通运输、仓储和邮政业,北京市门头沟区曹各庄路34号院3号楼12层1209
91110105MA01GH7U1Y,15163074034,东弘凯润(北京)科技有限公司,15163074034,信息传输、计算机服务和软件业,北京市朝阳区高碑店乡半壁店村惠河南街1089号1层F248
91110108MA01GHMD81,15521550219,中旭量子(北京)医疗科技有限公司,15521550219,信息传输、计算机服务和软件业,北京市海淀区中关村东路1号院6号楼二层KJ202-85号
91110105MA01GHWJ0R,17187336994,上海心鹿心理咨询有限公司北京第一分公司,17187336994,卫生、社会保障和社会福利业,北京市朝阳区垡头村北人集团公司第十印刷机械厂19幢一层124号
91110112MA01GH4Y5H,18588930287,三时春光(北京)策划咨询有限公司,18588930287,租赁和商务服务业,北京市通州区榆西一街1号院4号楼5层501室396号
91110108MA01GH8F50,18560912960,上海和兆服饰有限公司北京海淀第一分公司,18560912960,批发和零售业,北京市海淀区翠微路12号3层307-36B号
91110105MA01GHUE7M,17636711595,中永铭萱信息咨询服务有限公司朝阳二公司,17636711595,信息传输、计算机服务和软件业,北京市朝阳区北辰西路69号8层1单元902号
91110108MA01GHDY2J,18546560940,中民国开文化发展有限公司,18546560940,文化、体育和娱乐业,北京市海淀区中关村大街18号8层01-120
91110108MA01GHM95K,13249717993,中清北苑(北京)教育科技有限公司,13249717993,教育,北京市海淀区中关村大街甲28号5层北侧5F081号
91110106MA01GJ1C13,15948335851,云海肴(北京)餐饮管理有限公司蒲方路店,15948335851,住宿和餐饮业,北京市丰台区方庄蒲芳路9号8号楼1层F1-A002
91110108MA01GJ4M2D,13252785830,众泰盈丰(北京)文化传播有限公司,13252785830,文化、体育和娱乐业,北京市海淀区上地信息路1号1号楼3层305
91110105MA01GJG171,15390962709,乐响生辉(北京)国际文化艺术有限公司,15390962709,文化、体育和娱乐业,北京市朝阳区北苑东路19号院4号楼29层2908
91110111MA01GKTR59,17392922377,克莱迪特(北京)数据科技有限公司,17392922377,信息传输、计算机服务和软件业,北京市房山区康泽路3号院12号楼3层2单元301
91110105MA01GJ55XT,13827882634,万企耀铭(北京)科技发展有限公司,13827882634,信息传输、计算机服务和软件业,北京市朝阳区高碑店乡北花园村南3-1FC01号楼四层437室
91110115MA01GHW56E,15181640326,凤凰世通(北京)供应链管理有限公司,15181640326,租赁和商务服务业,北京市大兴区天华大街5号院3号楼15层1507
91110107MA01GJEF97,18414730636,北京万丰瑞祥餐饮有限公司,18414730636,住宿和餐饮业,北京市石景山区双峪路35号爱玛裕家居购物广场D区1层D092-C
91110105MA01GHWX5L,17090347954,传奇小鱼(北京)科贸有限公司,17090347954,批发和零售业,北京市朝阳区立清路7号院7号楼2层18F2-A15
91110108MA01GJ365H,15556670929,中安数智科技(北京)有限公司,15556670929,信息传输、计算机服务和软件业,北京市海淀区高里掌路1号院23号楼三层F779
91110105MA01GJEX6F,15512712457,冷暖互联信息科技(北京)有限公司,15512712457,信息传输、计算机服务和软件业,北京市朝阳区北三环东路6号院1号楼-1至5层101号4层411室
